,0,1,frame,clusterNum
17,87,72,0,0
18,88,72,0,0
19,89,72,0,0
20,90,73,0,0
21,91,73,0,0
22,92,73,0,0
15,87,72,1,0
16,88,72,1,0
17,89,72,1,0
18,90,73,1,0
19,91,73,1,0
20,92,73,1,0
17,87,72,2,0
18,88,72,2,0
19,89,72,2,0
20,90,73,2,0
21,91,73,2,0
22,92,73,2,0
18,87,72,3,0
19,88,71,3,0
20,89,71,3,0
21,90,72,3,0
22,91,73,3,0
13,87,72,4,0
14,88,72,4,0
15,89,73,4,0
16,90,73,4,0
17,91,73,4,0
10,87,72,5,0
11,88,73,5,0
12,89,73,5,0
13,90,73,5,0
14,91,73,5,0
17,87,71,6,0
18,88,71,6,0
19,89,71,6,0
20,90,72,6,0
21,91,73,6,0
22,92,73,6,0
14,87,72,7,0
16,88,71,7,0
17,89,71,7,0
18,90,72,7,0
19,91,72,7,0
20,92,72,7,0
10,87,71,8,0
11,88,72,8,0
12,89,72,8,0
13,90,73,8,0
14,91,73,8,0
15,92,73,8,0
18,87,73,9,0
20,88,73,9,0
22,89,73,9,0
23,90,73,9,0
24,91,73,9,0
8,87,72,10,0
9,88,73,10,0
19,87,72,11,0
21,88,72,11,0
23,89,73,11,0
24,90,73,11,0
25,91,73,11,0
13,83,71,12,0
15,84,71,12,0
17,85,71,12,0
19,86,71,12,0
21,87,71,12,0
23,88,71,12,0
24,89,72,12,0
25,90,73,12,0
26,91,73,12,0
16,87,72,13,0
18,88,72,13,0
20,89,72,13,0
21,90,73,13,0
22,91,73,13,0
23,92,73,13,0
13,87,72,14,0
14,88,72,14,0
15,89,71,14,0
16,90,72,14,0
17,91,72,14,0
18,92,73,14,0
9,87,71,15,0
10,88,71,15,0
11,89,71,15,0
12,90,72,15,0
13,91,72,15,0
14,92,72,15,0
16,87,72,16,0
18,88,72,16,0
19,89,71,16,0
20,90,71,16,0
21,91,72,16,0
22,92,73,16,0
11,87,72,17,0
12,88,72,17,0
13,89,71,17,0
14,90,71,17,0
15,91,72,17,0
16,92,73,17,0
14,87,72,18,0
16,88,72,18,0
18,89,72,18,0
19,90,72,18,0
20,91,73,18,0
21,92,73,18,0
12,87,72,19,0
13,88,72,19,0
14,89,72,19,0
15,90,72,19,0
16,91,73,19,0
10,84,71,20,0
12,85,71,20,0
14,86,71,20,0
16,87,71,20,0
18,88,71,20,0
20,89,71,20,0
21,90,72,20,0
22,91,73,20,0
23,92,73,20,0
20,87,72,21,0
22,88,72,21,0
24,89,72,21,0
25,90,73,21,0
26,91,73,21,0
26,87,73,22,0
28,88,73,22,0
30,89,73,22,0
17,87,72,23,0
18,88,72,23,0
19,89,71,23,0
20,90,72,23,0
21,91,72,23,0
22,92,72,23,0
19,87,71,24,0
21,88,71,24,0
23,89,71,24,0
24,90,72,24,0
25,91,72,24,0
26,92,72,24,0
9,84,71,25,0
10,85,71,25,0
11,86,71,25,0
12,87,71,25,0
13,88,72,25,0
14,89,72,25,0
15,90,73,25,0
16,91,73,25,0
17,92,73,25,0
20,83,71,26,0
22,84,71,26,0
24,85,71,26,0
26,86,71,26,0
28,87,71,26,0
30,88,71,26,0
32,89,71,26,0
33,90,71,26,0
34,91,72,26,0
35,92,72,26,0
36,93,72,26,0
11,83,71,27,0
13,84,71,27,0
15,85,71,27,0
17,86,71,27,0
19,87,71,27,0
21,88,70,27,0
22,89,70,27,0
23,90,71,27,0
24,91,72,27,0
25,92,72,27,0
20,87,72,28,0
22,88,72,28,0
24,89,72,28,0
25,90,72,28,0
26,91,73,28,0
27,92,73,28,0
18,87,72,29,0
20,88,72,29,0
22,89,72,29,0
23,90,72,29,0
24,91,72,29,0
25,92,73,29,0
10,79,113,6,1
11,80,113,6,1
12,81,113,6,1
13,82,113,6,1
14,83,113,6,1
12,81,113,9,1
13,82,113,9,1
14,83,113,9,1
10,78,113,11,1
11,79,113,11,1
12,80,113,11,1
13,81,113,11,1
14,82,113,11,1
15,83,113,11,1
11,81,113,12,1
12,82,113,12,1
14,83,113,12,1
9,80,113,13,1
10,81,113,13,1
11,82,113,13,1
12,83,113,13,1
12,83,113,14,1
12,83,113,16,1
9,83,113,20,1
10,77,113,21,1
11,78,113,21,1
12,79,113,21,1
13,80,113,21,1
14,81,113,21,1
15,82,113,21,1
16,83,113,21,1
17,78,113,22,1
18,79,113,22,1
19,80,113,22,1
20,81,113,22,1
21,82,113,22,1
22,83,113,22,1
13,80,113,23,1
14,81,113,23,1
15,82,113,23,1
16,83,113,23,1
11,79,113,24,1
12,80,113,24,1
13,81,113,24,1
14,82,113,24,1
15,83,113,24,1
13,76,113,26,1
14,77,113,26,1
15,78,113,26,1
16,79,113,26,1
17,80,113,26,1
18,81,114,26,1
19,82,114,26,1
21,83,114,26,1
8,80,113,27,1
9,81,113,27,1
10,82,113,27,1
12,83,113,27,1
12,79,113,28,1
13,80,113,28,1
14,81,113,28,1
15,82,113,28,1
16,83,113,28,1
10,79,113,29,1
11,80,113,29,1
12,81,113,29,1
13,82,113,29,1
14,83,113,29,1
0,66,93,0,2
1,66,94,0,2
2,66,95,0,2
6,67,97,0,2
7,67,98,0,2
8,67,99,0,2
9,67,100,0,2
2,67,97,1,2
3,67,98,1,2
4,67,99,1,2
5,67,100,1,2
4,67,97,2,2
5,67,98,2,2
6,67,99,2,2
7,67,100,2,2
8,67,101,2,2
4,67,97,3,2
5,67,98,3,2
6,67,99,3,2
7,67,100,3,2
0,67,97,4,2
1,67,98,4,2
2,67,99,4,2
0,68,94,5,2
1,68,95,5,2
2,68,96,5,2
3,68,97,5,2
4,68,98,5,2
5,68,99,5,2
0,68,96,6,2
1,68,97,6,2
2,68,98,6,2
3,68,99,6,2
0,68,94,7,2
1,68,95,7,2
2,68,96,7,2
3,68,97,7,2
4,68,98,7,2
5,68,99,7,2
0,67,97,8,2
1,67,98,8,2
2,67,99,8,2
3,68,94,8,2
0,67,97,9,2
1,67,98,9,2
2,68,94,9,2
3,68,95,9,2
4,68,99,9,2
0,67,97,10,2
1,67,98,10,2
2,68,99,10,2
0,67,97,11,2
1,67,98,11,2
2,67,99,11,2
3,67,100,11,2
4,68,94,11,2
0,68,96,12,2
1,68,97,12,2
2,68,98,12,2
3,68,99,12,2
0,68,97,13,2
1,68,98,13,2
2,68,99,13,2
0,67,97,14,2
1,67,98,14,2
2,67,99,14,2
3,67,100,14,2
4,68,94,14,2
5,68,95,14,2
0,67,97,15,2
1,67,98,15,2
2,67,99,15,2
3,67,100,15,2
0,67,97,16,2
1,67,98,16,2
2,67,99,16,2
3,67,100,16,2
4,67,101,16,2
5,68,94,16,2
6,68,95,16,2
0,68,94,17,2
1,68,95,17,2
2,68,96,17,2
3,68,97,17,2
4,68,98,17,2
5,68,99,17,2
0,67,97,18,2
1,67,98,18,2
2,67,99,18,2
3,67,100,18,2
0,67,97,19,2
1,67,98,19,2
2,67,99,19,2
3,67,100,19,2
4,67,101,19,2
5,67,102,19,2
0,67,97,20,2
1,67,98,20,2
2,67,99,20,2
0,68,94,21,2
1,68,95,21,2
2,68,96,21,2
3,68,97,21,2
4,68,98,21,2
5,68,99,21,2
0,66,94,22,2
1,66,95,22,2
2,66,96,22,2
3,66,97,22,2
4,67,98,22,2
5,67,99,22,2
6,67,100,22,2
7,67,101,22,2
8,67,102,22,2
0,66,98,23,2
1,66,99,23,2
2,66,100,23,2
3,66,101,23,2
4,66,102,23,2
5,67,97,23,2
0,67,97,24,2
1,67,98,24,2
2,67,99,24,2
3,67,100,24,2
0,67,97,25,2
1,67,98,25,2
2,67,99,25,2
3,67,100,25,2
4,67,101,25,2
5,67,102,25,2
0,66,99,26,2
1,66,100,26,2
2,67,97,26,2
3,67,98,26,2
4,67,101,26,2
5,67,102,26,2
0,67,97,27,2
1,67,98,27,2
2,67,99,27,2
0,66,97,28,2
1,67,98,28,2
2,67,99,28,2
3,67,100,28,2
4,67,101,28,2
5,67,102,28,2
0,67,97,29,2
